Aleksander_Miko≥ajczak,S≥awomir_åmia≥ek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin_Helstad,Trond_Nilssen,Stellan_Skarsg?rd,Kristoffer_Joner,Magnus_Langlete,Morten_L?vstad,Daniel_Berg,Odin_Gineson_Br?derud,Magnar_Botten,Markus_Brustad,Agnar_Jeger_Holst,Tommy_Jakob_H?land,Richard_Safin,Frank_Thomas_Andersen,Nils_Fredrik_Tveter,Martin_Slaatto,Ellen_Dorrit_Petersen,Ragnhild_Vannebo,Per_G?rvell,Kirsti_Asskildt,Julian_Karlsson,Kimmo_Rajala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalia_BroøyÒska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksander_Miko≥ajczak,S≥awomir_åmia≥ek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin_Helstad,Trond_Nilssen,Stellan_Skarsg?rd,Kristoffer_Joner,Magnus_Langlete,Morten_L?vstad,Daniel_Berg,Odin_Gineson_Br?derud,Magnar_Botten,Markus_Brustad,Agnar_Jeger_Holst,Tommy_Jakob_H?land,Richard_Safin,Frank_Thomas_Andersen,Nils_Fredrik_Tveter,Martin_Slaatto,Ellen_Dorrit_Petersen,Ragnhild_Vannebo,Per_G?rvell,Kirsti_Asskildt,Julian_Karlsson,Kimmo_Rajala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalia_BroøyÒska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katarzyna_Groniec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalena_Boczarska,Andrzej_Seweryn,Robert_WiÍckiewicz,Jacek_Braciak,Graøyna_Szapo≥owska,Jan_Frycz,Izabella_Olszewska,Krzysztof_Globisz,Jerzy_Kamas,W≥adys≥aw_Kowalski,Julia_Kornacka,Aleksander_Bednarz,Andrzej_Blumenfeld,Stefan_Burczyk,Pawe≥_Mossakowski,Pawe≥_Nowisz,Joanna_Pokojska,Justyna_Grzybek,Zdzis≥aw_∆wioro,Tadeusz_Drzewiecki,Jan_Hencz,Artur_Janusiak,Anna_Korzeniecka,Ireneusz_Kozio≥,Maciej_Luúnia,Andrzej_Luter,Damian_£ukawski,Miros≥awa_MaludziÒska,Marek_Richter,Mariusz_S≥upiÒski,Paulina_Zgoda,Aleksandra_Bednarz,Marcin_Czarnik,Andrzej_Dπbrowski,Bart≥omiej_Firlet,Miros≥aw_JÍkot,Adrianna_Jaroszewicz,Jakub_KamieÒski,Marek_Ka≥uøyÒski,Stefan_Knothe,Zbigniew_Konopka,Wojciech_Machnicki,Andrzej_Musia≥,Marcin_Markowski,Adam_Woronowicz,Dorota_Broniarz,Janusz_Chabior,Piotr_Grabowski,Anna_Ilczuk,Mieczys≥aw_Hryniewicz,Jan_Kidawa_B≥oÒski,Miros≥aw_Kowalczyk,Grzegorz_Kulikowski,Kazimierz_Mazur,Andrzej_M≥ynarczyk,Bartek_Waga,Witold_WieliÒski,Ilja_Zmiejew,Mateusz_Øu≥awski,Przemys≥aw_WyszyÒski,Julia_Rybakowska,Klaudiusz_ParadziÒski,Jan_Kidawa_B≥oÒski_jr.,Jolanta_Maria_Gacka,Miros≥aw_Øabski,Zbigniew_Zawadzki,Piotr_Romaniuk,Jaros≥aw_Pisz,Karolina_Onuszkiewicz,Piotr_Mach,Adam_Lewandowski,Kornel_JasiÒski,Stefan_Janowski,£ukasz_Bala,Marek_Bala,Micha≥_Tuønik,Rafa≥_TuszyÒski_,Mariusz_KarpiÒski_,Robert_Bondara,Aleksandra_Pawlina,Ma≥gorzata_Dytkowska_ParadziÒska,Anna_Lorenc,Angelika_Gembiak,Joanna_Drabik,Martyna_Dobosz,Piotr_Dπbrowski,Marta_Dobecka,Juliusz_Chrzπstowski,Zbigniew_Kasprzyk,Jaros≥aw_Sacharski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim_Sturgess,Ed_Harris,Saoirse_Ronan,Colin_Farrell,Drago∫_Bucur,Alexandru_Potocean,Gustaf_Skarsg?rd,Sebastian_Urzendowsky,Mark_Strong,Dejan_Angelov,Meglena_Karalambova,Irinei_Konstantinov,Sally_Edwards,Igor_Gnezdilov,Mariy_Grigorov,Zachary_Baharov,Nikolay_Stanoev,Pearce_Quigley,Hal_Yamanouchi,Stanislav_Pishtalov,Nikolay_Mutafchiev,Stefan_Shterev,Yordan_Bikov,Ruslan_Kupenov,Sattar_Dikambayev,An_Zung_Le,Anton_Trendafilov,Valentin_Ganev,Termirkhan_Tursingaliev,Bhawani_Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leszek_Lichota,Agnieszka_Podsiadlik,Wies≥aw_Komasa,Maciej_Miko≥ajczyk,£ukasz_Simlat,Izabela_Kuna,Zbigniew_Stryj,Krzysztof_Franieczek,Tamara_Arciuch,Ireneusz_Kozio≥,Magdalena_Kuta,Jacek_Pluta,Julia_Kijowska,Jacek_Polaczek,Andrzej_Franczyk,Ewa_Pajπk,Mieczys≥aw_Kad≥ubowski,Jakub_Ulewicz,Miros≥awa_MaludziÒska,Magdalena_Jezierska,Krzysztof_Lach,Kajetan_Stabeusz,Jakub_Wieczorek,Witold_WieliÒski,Magdalena_Myszkiewicz,Pawe≥_Niczewski,Konrad_Pawicki,Katarzyna_Bargie≥owska,Grzegorz_Emanuel,Pawe≥_Czajor,Zbigniew_Cichecki,Mariusz_KorpoliÒski,Cezary_Stankiewicz,Adrian_Kuklis,Wojciech_Andrzejuk,Robert_Jurczyga,Agnieszka_Kik,Maciej_Piwnicki,Marcin_Ksobiech,Askaniusz_Or≥ow,Rafa≥_Paradowski,Marcin_Makowski,Beata_Kostrzewa,Marcin_Wπsowski,Anna_Suszlik,Bartosz_Mrozowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof_StroiÒski,Agnieszka_Grochowska,Bogus≥aw_Linda,Lidia_Sadowa,Pawe≥_KrÛlikowski,Modest_RuciÒski,Tomasz_Karolak,Marcin_Walewski,S≥awomir_Orzechowski,Waldemar_B≥aszczyk,Iwona_Zwoüniak,Eliza_Ratajczyk,Paulina_Chapko,Stefan_Knothe,Karolina_Nolbrzak,Joanna_Turkowska,£ukasz_Wieczorek,Dorota_Kwiatkowska_Rae,Sally_Day,Joanna_OrleaÒska,Magdalena_Gnatowska,Damian_Suchodolski,Maciej_Rπczkowski,Pawe≥_Kaczmarek,Przemys≥aw_CypryaÒski,Marek_Siudym,Izabela_Dπbrowska,Jacek_Braciak,Bart≥omiej_Firlet,Marta_Kumik,Artur_Gortatowski_,Cezary_Domaga≥a,Jaros≥aw_RosiÒski,Janusz_Laskowski,Jakub_KamieÒski,Katarzyna_B≥aøko,Joanna_Szumilas,Pawe≥_Wierzchowiak,Bogus≥awa_Koøusznik_Kurosad,Kazimierz_Poúnik,Artur_Janusiak,Anna_Maria_Buczek,Ma≥gorzata_Lipka,Andrzej_Zgud,Maciej_Sosnowski,Miko≥aj_OsiÒski,Patryk_Janota,Maciej_Wπgrowski,Judyta_Turan,Tomasz_KrÛlikowski,Julia_Chatys,Waldemar_Czyszak,Miros≥awa_Krajewska,Teresa_Owczynnikow,Waldemar_Ma≥kowski,JÛzef_Grzyma≥a,Ryszard_Francman,Rafa≥_ØabiÒski,Danuta_Borsuk,Grzegorz_Ciπgardlak,Miros≥aw_Bogdaniuk,Janusz_Machniewski,Miros≥aw_Boruszewski,Tomasz_Dybicz,Rafa≥_Dybicz,Eløbieta_KamiÒska,Karolina_Skiba,Aleksander_SkowroÒski,Grzegorz_Kulikowski,Micha≥_Kula,Andrzej_Ramlau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek_Niedüwiecki,Krzysztof_Skiba,Jerzy_Owsiak,Kazik_Staszewski,Muniek_Staszczyk,Kora,Tomasz_LipiÒski,Zbigniew_Ho≥dys,Andrzej_Mogielnicki,Lech_Janerka,Jaros≥aw_Janiszewski,Romuald_Lipko,Chris_Salewicz,Zbigniew_KrzywaÒski,Arkadiusz_Rybicki,Walter_Che≥stowski,Krzysztof_Cugowski,Krzysztof_Grabowski,Adam_Laboga,Miros≥aw_Makowski,Piotr_Nag≥owski,Marek_Piekarczyk,Kamil_Sipowicz,Piotr_Stelmach,Tomasz_Toborek,Wojciech_Waglewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piotr_Korczak,Andrzej_Marcisz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldona_Struzik,Kinga_Wo≥oszyn_åwierk,Marcin_Bradke,Agnieszka_Weseli,Maria_Rudzka_Kantorowicz,Leokadia_RowiÒska,Anna_Stachowiak,Dagmar_Lieblov·,Antonina_Kloch,Esther_Bajerano,Agata_Patralska_Obarewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalena_Cielecka,Marcin_Walewski,Agnieszka_Grochowska,Graøyna_B≥Ícka_Kolska,Julia_Kijowska,Julia_Chatys,Hanna_KuümiÒska,Weronika_AsiÒska,Teresa_Budzisz_Krzyøanowska,Dana_Batulkov·,Mariusz_Bonaszewski,Filip_Piotrowicz,Franciszek_Serwa,Henryk_Niebudek,Piotr_Siwkiewicz,Eryk_Lubos,Artur_Steranko,Bohdan_åwiderski,Micha≥_Meyer,Jakub_KotyÒski,Hubert_Jarczak,Jaros≥aw_Borodziuk,Marek_Cichucki,Antoni_Dmochowski,Gabriela_Groblewska,S≥awomir_Jode≥ka,Grzegorz_Jurkiewicz,Jacek_KopczyÒski,Marcin_Korcz,Antoni_KuümiÒski,Marcin_KuümiÒski,Maciej_A._Maciejewski,Karol_Nepelski,Katarzyna_Oleksiak,Patryk_Pawlak,Filip_P≥awiak,Corinna_Pyplok,Jan_Rotowski,Aleksander_SosiÒski,Krzysztof_Wach,Robert_Zawadzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urszula_Grabowska,Sara_Knothe,Stanis≥awa_CeliÒska,Halina_£abonarska,Kinga_Preis,Joachim_Paul_Assbˆck,Monika_Kwiatkowska,Mieczys≥aw_Grπbka,Stanis≥aw_Penksyk,Joanna_Gryga,Izabela_Kuna,Leszek_Piskorz,Arkadiusz_Brykalski,Remigiusz_Jankowski,Ryszard_Barycz,Sebastian_Ryú,Andrzej_Konopka,Graøyna_Marzec,Klaudiusz_Kaufmann,Ewa_Worytkiewicz,Wojciech_Leonowicz,Marcel_Wiercichowski,Micha≥_Breitenwald,Ireneusz_DydliÒski,Damian_£ukawski,Jakub_Mazurek,Artur_Kasiak,Marcin_Grzymowicz,Patrycja_Topajew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wojciech_ZieliÒski,Tomasz_Schuchardt,Natalia_Rybicka,Adam_Woronowicz,Micha≥_Koterski,Krzysztof_Czeczot,Pawe≥_Tomaszewski,Robert_Jurczyga,Andrzej_Franczyk,Iwona_Bielska,S≥awomir_Rokita,Aleksandra_RadwaÒska,Miko≥aj_Ka≥ucki,Zbigniew_Konopka,Ireneusz_Kozio≥,Anita_PoddÍbniak,Mieczys≥aw_Fiodorow,Wojciech_ZiemiaÒski,Magdalena_Øuk,Aleksandra_ChaciÒska,Dawid_DrÍøek,Jacek_Kuünicki,Wioletta_Gromala,Katarzyna_KaczyÒska,Klaudia_El_Dursi,Krzysztof_Mys≥owski,Wiktoria_JaüwiÒska,Dariusz_Chojnacki,Bartosz_Pawlik,Robert_P≥aszczyÒski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
